timestamp,voltage,current,power,temperature,data_plus,data_minus,mode_id,mode_name,accumulated_current,accumulated_power,accumulated_time,resistance
1616899324.9811783,4.98,0.447,2.226,25,0.59,0.55,1,QC2.0,2238,11145,18839,11.1
1616899325.3035173,4.98,0.447,2.226,25,0.59,0.55,1,QC2.0,2238,11145,18839,11.1
1616899326.3450565,4.97,0.496,2.465,25,0.59,0.55,1,QC2.0,2238,11145,18840,10.0
1616899327.1737778,5.0,0.519,2.595,25,0.58,0.55,1,QC2.0,2238,11146,18841,9.6
1616899328.1948647,4.99,0.504,2.514,25,0.59,0.55,1,QC2.0,2238,11147,18842,9.9
1616899329.2165368,4.98,0.445,2.216,25,0.59,0.55,1,QC2.0,2239,11147,18843,11.1
1616899330.0638325,4.98,0.444,2.211,25,0.59,0.55,1,QC2.0,2239,11148,18844,11.2
1616899331.0862517,4.98,0.612,3.047,25,0.58,0.55,1,QC2.0,2239,11149,18845,8.1
1616899332.1788027,4.98,0.446,2.221,25,0.59,0.55,1,QC2.0,2239,11149,18846,11.1
1616881879.2182915,4.98,0.461,2.295,25,0.57,0.54,1,QC2.0,2314,11523,19392,10.8
1616881879.6082466,4.98,0.449,2.236,25,0.58,0.55,1,QC2.0,2314,11523,19393,11.0
1616881880.6364985,4.98,0.593,2.953,25,0.58,0.55,1,QC2.0,2314,11524,19394,8.3
1616881881.4383578,4.98,0.448,2.231,25,0.58,0.55,1,QC2.0,2314,11524,19395,11.1
1616881882.1106699,4.98,0.564,2.808,25,0.58,0.54,1,QC2.0,2314,11524,19395,8.8
1616881883.1014507,4.98,0.452,2.25,25,0.58,0.55,1,QC2.0,2314,11525,19396,11.0
1616881883.9484208,4.98,0.455,2.265,25,0.58,0.55,1,QC2.0,2315,11526,19397,10.9
1616881884.27271,4.98,0.455,2.265,25,0.58,0.55,1,QC2.0,2315,11526,19397,10.9
1616881884.595882,4.98,0.459,2.285,25,0.57,0.54,1,QC2.0,2315,11526,19398,10.8
1616881884.921042,4.98,0.459,2.285,25,0.58,0.55,1,QC2.0,2315,11526,19398,10.8
1616881885.2462845,4.98,0.459,2.285,25,0.58,0.55,1,QC2.0,2315,11526,19398,10.8
1616881885.5684319,4.98,0.546,2.719,25,0.57,0.54,1,QC2.0,2315,11527,19399,9.1
1616881885.8920815,4.98,0.546,2.719,25,0.57,0.54,1,QC2.0,2315,11527,19399,9.1
1616881886.2178025,4.99,0.447,2.23,25,0.57,0.54,1,QC2.0,2315,11527,19399,11.1
1616881886.5409472,4.98,0.446,2.221,25,0.58,0.54,1,QC2.0,2315,11528,19400,11.1
1616881886.8687565,4.98,0.446,2.221,25,0.58,0.54,1,QC2.0,2315,11528,19400,11.1
1616881887.19393,4.98,0.482,2.4,25,0.58,0.54,1,QC2.0,2315,11528,19400,10.3
1616881887.513212,4.98,0.601,2.992,25,0.58,0.54,1,QC2.0,2315,11528,19401,8.2
1616881887.8370214,4.98,0.601,2.992,25,0.58,0.54,1,QC2.0,2315,11528,19401,8.2
1616881888.162803,4.98,0.457,2.275,25,0.58,0.54,1,QC2.0,2315,11528,19401,10.8
1616881888.4857087,4.98,0.457,2.275,25,0.58,0.54,1,QC2.0,2315,11529,19402,10.8
1616881888.811477,4.98,0.486,2.42,25,0.57,0.54,1,QC2.0,2315,11529,19402,10.2
1616881889.1335626,4.98,0.536,2.669,25,0.58,0.55,1,QC2.0,2315,11529,19402,9.2
1616881889.4582417,4.98,0.536,2.669,25,0.58,0.55,1,QC2.0,2315,11530,19403,9.2
1616881889.7828455,4.98,0.462,2.3,25,0.57,0.54,1,QC2.0,2315,11530,19403,10.7
1616881890.1064203,4.98,0.45,2.241,25,0.58,0.55,1,QC2.0,2315,11530,19403,11.0
1616881890.4312823,4.98,0.45,2.241,25,0.58,0.55,1,QC2.0,2316,11530,19404,11.0
